"publication_version_id","publication_id","doi","title","abstract","description","Tags","Authors"
"5","1002","10.4231/D39P2W550","Graph of Flickr Photo-Sharing Social Network Crawled in May 2006","Crawl of the Flickr photo-sharing social network from May 2006 returning a graph with 820,878 nodes and 
9,837,214 edges. Dataset is distributed as a SMAT file with README file with code to read file in Python and MATLAB.","<p>Flickr is a popular online-community for sharing photos, with millions of users. This graph is representative of its social network, in which the node set V represents users, and the edge set E is such that (u, v) is in E if and only if a user u has added user v as his/her contact. We start with a crawl extracted from Flickr in May 2006. This crawl began with a single user and continued until the total personalized !PageRank on the set of uncrawled nodes was less than 0.0001. The result of the crawl was a graph with 820,878 nodes and 9,837,214 edges.</p>","communication, computer science","David F Gleich"
"6","1004","10.4231/D3251FJ7S","Phosphorus and Potassium Influence on Alfalfa Nutrition","Data from several studies on the influence of phosphorus and potassium nutrition on alfalfa. It includes numeric data such as yield, plant mass, plant counts, and tissue concentration of various nutrients","<p>This is a master file of merged excel files with data from several studies on the influence of phosphorus and potassium nutrition on alfalfa. It includes numeric data such as yield, plant mass, plant counts, and tissue concentration of various nutrients. Conventional wisdom states that plants that are poorly fertilized and do not have adequate phosphorus and especially low potassium will become winterkill. This study showed that plants did not necessarily die in winter with low potassium stress. Study dates: 1997 to 2004. Location/Latitude and Longitude: Throckmorton Purdue-Agricultural Center located 15 km south of West Lafayette, IN (40&deg;N and 87&deg;W)</p>","agronomy, crop science, forage legumes, nutritive value, soil fertility, soil science, winter hardiness, yield components","Jeffrey J. Volenec"
"2579","1004","10.4231/PPKB-VK18","Phosphorus and Potassium Influence on Alfalfa Nutrition","Data from several studies on the influence of phosphorus and potassium nutrition on alfalfa. It includes numeric data such as yield, plant mass, plant counts, and tissue concentration of various nutrients","<p>This is a master file of merged excel files with data from several studies on the influence of phosphorus and potassium nutrition on alfalfa. It includes numeric data such as yield, plant mass, plant counts, and tissue concentration of various nutrients. Conventional wisdom states that plants that are poorly fertilized and do not have adequate phosphorus and especially low potassium will become winterkill. This study showed that plants did not necessarily die in winter with low potassium stress. Study dates: 1997 to 2004. Location/Latitude and Longitude: Throckmorton Purdue-Agricultural Center located 15 km south of West Lafayette, IN (40&deg;N and 87&deg;W)</p>","agronomy, crop science, forage legumes, nutritive value, soil fertility, soil science, winter hardiness, yield components","Jeffrey J. Volenec, Sylvie M. Brouder, W. K. Berg, S. Lissbrant, B. C. Joern, K. D. Johnson, Suzanne M Cunningham, Sandi L Caldrone"
"32","1029","10.4231/D3TH8BM5D","Controlling the cost and increasing the utility of network measurement infrastructures","Dissertation on the cost and utility of network measurement infrastructures, including mechanisms for admission control, identifying measurement patterns that will benefit from inference, and selecting vantage points for wide-scale measurement.","<p>Network measurement is an important tool in network research and operations, and is increasingly utilized in end-user applications. However, active measurements compete with other applications for limited network resources. These measurements are typically performed by individual users and applications, with limited coordination or planning. This dissertation addresses network measurement in the context of a measurement infrastructure, which can coordinate measurements, monitor and control their resource consumption, and even improve the quality of measurement results. We address three specific areas of operation in a measurement infrastructure. We present an architecture for an infrastructure that uses admission control to bound the resource consumption of measurements. We use estimates of the resources consumed by real-world measurement tools in the admission control mechanism. We evaluate methods of estimating the resource consumption of measurements in terms of network bandwidth, and show that these estimates are important to the accuracy of admission control. We propose several algorithms for determining when network measurements can be replaced by a network inference mechanism to reduce measurement load in the network at a cost of measurement accuracy. We experimentally evaluate these algorithms on measurement patterns designed to present difficulties, measurement patterns based on real-world peer-to-peer distributed communication, and random measurements. We show that the algorithms successfully reduce the measurement load on the first two types of graphs, and that they do not incur undue expense on the latter. We design and evaluate a family of methods for selecting vantage points from which to take active measurements to increase reachability into the Internet. We show that two of these methods perform substantially better than selecting vantage points at random, allowing a larger number of hosts to be probed with direct measurements with the same number of vantage points.</p>","computer science, inference, internet","Ethan L Blanton"
"69","1066","10.4231/D3T727G0X","Evaluation of Function Predictions for Moonlighting Proteins","Supplemental datasets used for evaluation of function predictions for moonlighting proteins.","<p>The performances of PFP, ESG, and PSI-BLAST in predicting the functional diversity of moonlighting proteins were analyzed. PFP shows overall better performance in predicting diverse moonlighting functions as compared with PSI-BLAST and ESG. Recall by PSI-BLAST greatly improved when BLOSUM45 was used. This analysis indicates that considering weakly similar sequences in prediction enhances the performance of sequence based AFP methods in predicting functional diversity of moonlighting proteins. The current study will also motivate development of novel computational frameworks for automatic identification of such proteins. This dataset was used for the evaluation of function predictions for moonlighting proteins. The dataset provides a set of 19 moonlighting proteins from Huberts et al. (2010) with GO annotations taken for each protein from Uniprot. The GO annotations for the proteins are classified as in &ldquo;Function 1&rdquo;, &ldquo;Function 2&rdquo;, &ldquo;Function Common to Both&rdquo; and &ldquo;Function Not Clear&rdquo;. The dataset is available in two excel files: the first file contains the protein names and uniprot ID, and the second file contains the current GO annotations for the proteins from Uniprot, functional description, and functional classification of the GO terms.</p>","biochemistry, bioinformatics, molecular biosciences, proteomics","Daisuke Kihara, Ishita K. Khan, Meghana Chitale, Catherine Rayon"
"75","1072","10.4231/D3Z02Z836","Functional enrichment analyses and construction of functional similarity networks with high confidence function prediction by PFP","Supplementary Material for the Paper: Functional similarity network with high confidence protein function prediction by PFP. BMC Bioinformatics. 2010 May 19;11:265. doi: 10.1186/1471-2105-11-265.","<p>BACKGROUND: A new paradigm of biological investigation takes advantage of technologies that produce large high throughput datasets, including genome sequences, interactions of proteins, and gene expression. The ability of biologists to analyze and interpret such data relies on functional annotation of the included proteins, but even in highly characterized organisms many proteins can lack the functional evidence necessary to infer their biological relevance. RESULTS: Here we have applied high confidence function predictions from our automated prediction system, PFP, to three genome sequences, Escherichia coli, Saccharomyces cerevisiae, and Plasmodium falciparum (malaria). The number of annotated genes is increased by PFP to over 90% for all of the genomes. Using the large coverage of the function annotation, we introduced the functional similarity networks which represent the functional space of the proteomes. Four different functional similarity networks are constructed for each proteome, one each by considering similarity in a single Gene Ontology (GO) category, i.e. Biological Process, Cellular Component, and Molecular Function, and another one by considering overall similarity with the funSim score. The functional similarity networks are shown to have higher modularity than the protein-protein interaction network. Moreover, the funSim score network is distinct from the single GO-score networks by showing a higher clustering degree exponent value and thus has a higher tendency to be hierarchical. In addition, examining function assignments to the protein-protein interaction network and local regions of genomes has identified numerous cases where subnetworks or local regions have functionally coherent proteins. These results will help interpreting interactions of proteins and gene orders in a genome. Several examples of both analyses are highlighted. CONCLUSION: The analyses demonstrate that applying high confidence predictions from PFP can have a significant impact on a researchers&#39; ability to interpret the immense biological data that are being generated today. The newly introduced functional similarity networks of the three organisms show different network properties as compared with the protein-protein interaction networks.</p>","biochemistry, bioinformatics, computational biology / methods, genetic, molecular biosciences, proteins / metabolism","Troy Hawkins, Meghana Chitale, Daisuke Kihara"
"76","1073","10.4231/D3PK0719W","Threading Without Optimizing Weighting Factor for the Scoring Function Proteins","Supplementary Material for the Paper: Threading Without Optimizing Weighting Factor for the Scoring Function Proteins, in revision (2008). Proteins. 2008 Nov 15;73(3):581-96. doi: 10.1002/prot.22082.","<p>Optimizing weighting factors for a linear combination of terms in a scoring function is a crucial step for success in developing a threading algorithm. Usually weighting factors are optimized to yield the highest success rate on a training dataset, and the determined constant values for the weighting factors are used for any target sequence. Here we explore completely different approaches to handle weighting factors for a scoring function of threading. Throughout this study we use a model system of gapless threading using a scoring function with two terms combined by a weighting factor, a main chain angle potential and a residue contact potential. First, we demonstrate that the optimal weighting factor for recognizing the native structure differs from target sequence to target sequence. Then, we present three novel threading methods which circumvent training dataset-based weighting factor optimization. The basic idea of the three methods is to employ different weighting factor values and finally select a template structure for a target sequence by examining characteristics of the distribution of scores computed by using the different weighting factor values. Interestingly, the success rate of our approaches is comparable to the conventional threading method where the weighting factor is optimized based on a training dataset. Moreover, when the size of the training set available for the conventional threading method is small, our approach often performs better. In addition, we predict a target-specific weighting factor optimal for a target sequence by an artificial neural network from features of the target sequence. Finally, we show that our novel methods can be used to assess the confidence of prediction of a conventional threading with an optimized constant weighting factor by considering consensus prediction between them. Implication to the underlined energy landscape of protein folding is discussed.</p>","algorithms, biochemistry, bioinformatics, databases, molecular biosciences, protein, proteins / chemistry","David Yifeng, Daisuke Kihara"
"83","1080","10.4231/D37659F6Q","Comparative genomics of small RNAs in bacterial genomes","Supplemental Material for the paper: Comparative genomics of small RNAs in bacterial genomes. OMICS. 2007 Spring;11(1):58-73.","<p>In recent years, various families of small non-coding RNAs (sRNAs) have been discovered by experimental and computational approaches, both in bacterial and eukaryotic genomes. Although most of them await elucidation of their function, it has been reported that some play important roles in gene regulation. Here we carried out comparative genomics analysis of possible sRNAs that are computationally identified in 30 bacterial genomes from gamma- and alpha-proteobacteria and Deinococcus radiodurans. Identified sRNAs are clustered by a complete-linkage clustering method to see conservation among the organisms. On average, sRNAs are found in approximately 30% of intergenic regions of each genome sequence. Of these, 25.7% are conserved among three or more organisms. Approximately 60% of the conserved sRNAs do not locate in orthologous intergenic regions, implying that sRNAs may be shuffled their positions in genomes. The current study implies that sRNAs may be involved in a more extensive range of functions in bacteria.</p>","bacterial, bacterial/genetics, biochemistry, bioinformatics, deinococcus/genetics, escherichiacoli/metabolism, molecular biosciences, multigene family, rna","Stan Luban, Daisuke Kihara"
"84","1081","10.4231/D3BZ61792","Characterization of Local Geometry of Protein Surfaces with the Visibility Criteria","Supplementary material for the paper: Characterization of Local Geometry of Protein Surfaces with the Visibility Criteria. Proteins. 2008 May 1;71(2):670-83.","<p>Experimentally determined protein tertiary structures are rapidly accumulating in a database, partly due to the structural genomics projects. Included are proteins of unknown function, whose function has not been investigated by experiments and was not able to be predicted by conventional sequence-based search. Those uncharacterized protein structures highlight the urgent need of computational methods for annotating proteins from tertiary structures, which include function annotation methods through characterizing protein local surfaces. Toward structure-based protein annotation, we have developed !VisGrid algorithm that uses the visibility criterion to characterize local geometric features of protein surfaces. Unlike existing methods, which only concerns identifying pockets that could be potential ligand-binding sites in proteins, !VisGrid is also aimed to identify large protrusions, hollows, and flat regions, which can characterize geometric features of a protein structure. The visibility used in !VisGrid is defined as the fraction of visible directions from a target position on a protein surface. A pocket or a hollow is recognized as a cluster of positions with a small visibility. A large protrusion in a protein structure is recognized as a pocket in the negative image of the structure. !VisGrid correctly identified 95.0% of ligand-binding sites as one of the three largest pockets in 5616 benchmark proteins. To examine how natural flexibility of proteins affects pocket identification, !VisGrid was tested on distorted structures by molecular dynamics simulation. Sensitivity decreased approximately 20% for structures of a root mean square deviation of 2.0 A to the original crystal structure, but specificity was not much affected. Because of its intuitiveness and simplicity, the visibility criterion will lay the foundation for characterization and function annotation of local shape of proteins.</p>","argininosuccinate synthase, binding sites, biochemistry, bioinformatics, computer simulation, molecular biosciences, protein structure, sensitivity and specificity, tertiary, tetrahydrofolate dehydrogenase/chemistry","Bin Li, Srinivasan Turuvekere, Manish Agrawal, Daisuke Kihara"
"85","1082","10.4231/D33F4KN2K","Limitations and Potentials of Current Motif Discovery Algorithms","Supplementary material for the papers: Limitations and Potentials of Current Motif Discovery Algorithms, Nucleic Acids Res. 2005; 33(15): 4899–4913","<p>Computational methods for de novo identification of gene regulation elements, such as transcription factor binding sites, have proved to be useful for deciphering genetic regulatory networks. However, despite the availability of a large number of algorithms, their strengths and weaknesses are not sufficiently understood. Here, we designed a comprehensive set of performance measures and benchmarked five modern sequence-based motif discovery algorithms using large datasets generated from Escherichia coli !RegulonDB. Factors that affect the prediction accuracy, scalability and reliability are characterized. It is revealed that the nucleotide and the binding site level accuracy are very low, while the motif level accuracy is relatively high, which indicates that the algorithms can usually capture at least one correct motif in an input sequence. To exploit diverse predictions from multiple runs of one or more algorithms, a consensus ensemble algorithm has been developed, which achieved 6-45% improvement over the base algorithms by increasing both the sensitivity and specificity. Our study illustrates limitations and potentials of existing sequence-based motif discovery algorithms. Taking advantage of the revealed potentials, several promising directions for further improvements are discussed. Since the sequence-based algorithms are the baseline of most of the modern motif discovery algorithms, this paper suggests substantial improvements would be possible for them.</p>","algorithms, base sequence, binding sites, biochemistry, bioinformatics, computational biology / methods, dna/chemistry, dna/methods, escherichia coli/genetics, factors/metabolism, markov chains, markov chains regulatory sequences, molecular biosciences, regulon, sequence alignment, sequence analysis","Jianjun Hu, Bin Li, Daisuke Kihara"
